Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
UBER,"Uber Technologies, Inc.",Technology,15.26,8.27,13.81,0.52,0.21,0.0,-7.33,30.67,0.14,75.0
AMGN,Amgen Inc.,Healthcare,23.55,20.89,0.96,7.57,0.16,0.03,-2.8,-7.74,2.08,87.5
BA,Boeing Company (The),Industrials,,-52.44,,0.0,-0.16,0.0,1.11,36.45,0.0,12.5
QCOM,QUALCOMM Incorporated,Technology,14.24,5.88,1.67,0.54,0.31,0.02,-7.4,-8.32,1.2,87.5
BLK,"BlackRock, Inc.",Financial Services,27.17,3.63,2.42,0.28,0.15,0.02,3.33,34.25,0.83,75.0
ULVR.L,UNILEVER PLC ORD 3 1/9P,Consumer Defensive,23.08,620.14,1.79,1.61,,0.0,1.26,-5.83,1.12,62.5
ICSUAGD,,,,,,0.0,,,,,0.0,12.5
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,Financial Services,13.35,1.21,3.39,0.0,,0.03,7.6,58.27,0.59,37.5
6758.T,SONY GROUP CORPORATION,Technology,20.33,2.9,9.46,0.19,0.16,0.01,8.83,63.53,0.21,62.5
NOVO-B.CO,Novo Nordisk B A/S,Healthcare,12.94,8.54,1.28,0.59,0.57,0.04,-27.08,-61.84,1.57,87.5
BSX,Boston Scientific Corporation,Healthcare,61.39,6.81,1.79,0.53,0.1,0.0,0.17,35.37,1.12,50.0
ALV,"Autoliv, Inc.",Consumer Cyclical,12.32,3.5,,0.89,0.24,0.02,-4.07,21.67,0.0,62.5
PGR,Progressive Corporation (The),Financial Services,13.88,4.43,5.2,0.21,0.34,0.02,-1.56,13.44,0.39,87.5
SHOP.TO,SHOPIFY INC,Technology,83.33,22.06,,0.09,0.12,0.0,31.52,118.61,0.0,62.5
NEE,"NextEra Energy, Inc.",Utilities,25.23,2.94,2.74,1.53,0.05,0.03,-1.68,-3.73,0.73,37.5
ACN,Accenture plc,Technology,19.03,4.88,1.86,0.26,0.3,0.02,-19.17,-22.87,1.07,100.0
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,30.91,17.24,2.99,1.54,0.57,0.01,4.72,20.2,0.67,62.5
MC,Moelis & Company,Financial Services,27.35,10.07,,0.37,0.47,0.04,3.58,19.16,0.0,62.5
HON,Honeywell International Inc.,Industrials,24.61,8.53,2.1,2.26,0.16,0.02,-9.39,11.41,0.95,75.0
ADBE,Adobe Inc.,Technology,21.88,12.72,0.97,0.57,0.49,0.0,-8.66,-36.41,2.06,75.0
AMAT,"Applied Materials, Inc.",Technology,22.49,7.82,1.82,0.35,0.34,0.01,-5.38,-2.39,1.1,100.0
PFE,"Pfizer, Inc.",Healthcare,13.01,1.58,0.86,0.7,0.09,0.07,-2.17,-7.86,2.34,62.5
UNP,Union Pacific Corporation,Industrials,19.31,8.11,2.71,2.09,0.21,0.02,-6.03,-4.3,0.74,75.0
SU,Suncor Energy  Inc.,Energy,11.88,1.07,,0.32,0.15,0.06,-0.03,3.19,0.0,50.0
ETN,"Eaton Corporation, PLC",Industrials,36.5,7.59,3.02,0.62,0.17,0.01,0.85,25.66,0.66,62.5
SAN,"Banco Santander, S.A. Sponsored",Financial Services,9.8,1.4,3.22,0.0,,0.01,4.84,114.4,0.62,37.5
COF,Capital One Financial Corporati,Financial Services,594.94,1.26,0.91,0.0,,0.01,-4.49,56.62,2.2,37.5
GILD,"Gilead Sciences, Inc.",Healthcare,25.09,7.54,0.23,1.27,0.18,0.03,5.45,67.34,8.72,87.5
SYK,Stryker Corporation,Healthcare,49.88,6.81,2.15,0.81,0.12,0.01,-3.69,16.22,0.93,62.5
ANET,"Arista Networks, Inc.",Technology,54.58,16.1,2.8,0.0,0.31,0.0,30.96,65.78,0.71,75.0
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,19.95,-10.19,2.4,0.0,0.49,0.02,7.48,4.23,0.84,75.0
APH,Amphenol Corporation,Technology,43.82,11.65,2.01,0.7,0.22,0.01,11.98,77.25,0.99,75.0
DHR,Danaher Corporation,Healthcare,42.67,2.74,1.99,0.35,0.06,0.01,-0.2,-24.8,1.01,50.0
TD.TO,TORONTO-DOMINION BANK,Financial Services,10.45,1.42,,0.0,,0.04,0.37,36.02,0.0,50.0
BHP.AX,BHP GROUP FPO [BHP],Basic Materials,11.66,4.48,,0.44,,0.03,6.24,5.0,0.0,62.5
SAF,Saratoga Investment Corp 6.25% ,,,,,0.0,,,,,0.0,12.5
UBSG.SW,UBS GROUP N,Financial Services,20.88,1.13,,0.0,,0.03,12.5,34.74,0.0,37.5
CMCSA,Comcast Corporation,Communication Services,5.25,1.21,2.58,1.04,0.16,0.04,-11.09,-16.16,0.78,75.0
DE,Deere & Company,Industrials,24.63,5.69,1.55,2.75,0.12,0.01,0.2,49.57,1.29,75.0
6501.T,HITACHI,Industrials,33.39,3.33,,0.24,0.08,0.01,2.62,36.34,0.0,25.0
TTE,TotalEnergies SE,Energy,11.11,1.16,10.09,0.53,0.14,0.06,-1.97,-3.28,0.2,50.0
ADP,"Automatic Data Processing, Inc.",Technology,30.64,20.03,3.6,1.47,0.39,0.02,-0.84,19.06,0.56,62.5
LRCX,Lam Research Corporation,Technology,24.52,13.09,1.64,0.45,0.39,0.01,1.94,27.41,1.22,100.0
MU,"Micron Technology, Inc.",Technology,21.42,2.62,0.13,0.32,0.13,0.0,-2.74,28.33,15.13,87.5
AIR,AAR Corp.,Industrials,213.69,2.18,,0.87,0.05,0.0,2.09,24.3,0.0,25.0
DTE,DTE Energy Company,Utilities,20.18,2.48,3.35,2.05,0.07,0.03,6.73,20.94,0.6,25.0
BX,Blackstone Inc.,Financial Services,45.65,15.83,2.94,0.61,,0.03,7.09,32.5,0.68,37.5
COP,ConocoPhillips,Energy,12.59,1.79,,0.36,0.17,0.03,-0.66,-10.84,0.0,62.5
SNPS,"Synopsys, Inc.",Technology,71.86,9.69,12.8,1.08,0.08,0.0,12.43,18.05,0.16,50.0
RR..L,,,,,,0.0,,,,,0.0,12.5
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,Consumer Defensive,30.42,205.27,0.45,0.75,,0.0,17.48,50.95,4.46,50.0
MDT,Medtronic plc.,Healthcare,25.73,2.48,2.14,0.61,0.08,0.03,4.36,16.97,0.93,62.5
